Rank,Name,Year_Released,RT_Rating,Adj_RT_Rating,LTBX_Rating
1,The Shawshank Redemption,1994,89%,4.5,4.6
2,The Godfather,1972,97%,4.9,4.5
3,The Dark Knight,2008,94%,4.7,4.5
4,The Godfather Part II,1974,96%,4.8,4.6
5,12 Angry Men,1957,100%,5,4.6
6,The Lord of the Rings: Return of the King,2003,94%,4.7,4.5
7,Schindler's List,1993,98%,4.9,4.5
8,Pulp Fiction,1994,92%,4.6,4.3
9,The Lord of the Rings: Fellowship of the Ring,2001,92%,4.6,4.4
10,"The Good, the Bad and the Ugly ",1966,97%,4.9,4.5
11,Forrest Gump,1994,75%,3.8,4.1
12,The Lord of the Rings: The Two Towers,2002,95%,4.8,4.4
13,Fight Club,1999,81%,4.1,4.3
14,Inception,2010,87%,4.4,4.2
15,Star Wars Ep. V,1980,93%,4.7,4.4
16,The Matrix ,1999,83%,4.2,4.2
17,Goodfellas,1990,94%,4.7,4.5
18,Interstellar ,2014,73%,3.7,4.4
19,One Flew Over the Cuckoo's Nest,1975,93%,4.7,4.4
20,Se7en,1995,84%,4.2,4.3
21,It's a Wonderful Life,1946,94%,4.7,4.4
22,Silence of the Lambs,1991,95%,4.8,4.3
23,Seven Samurai,1954,100%,5,4.6
24,Saving Private Ryan,1998,94%,4.7,4.2
25,City of God,2002,91%,4.6,4.5
26,The Green Mile,1999,79%,4,4.2
27,Life is Beautiful ,1997,81%,4.1,4.4
28,Terminator 2,1991,91%,4.6,4.3
29,Star Wars Ep. IV,1977,94%,4.7,4.2
30,Back to the Future ,1985,93%,4.7,4.2
31,Spirited Away,2001,96%,4.8,4.4
32,The Pianist ,2002,95%,4.8,4.4
33,Gladiator ,2000,80%,4,4.1
34,Parasite ,2019,99%,4.9,4.5
35,Psycho,1960,97%,4.9,4.3
36,The Lion King,1994,93%,4.7,4.2
37,Grave of the Fireflies ,1988,100%,5,4.5
38,The Departed ,2006,91%,4.6,4.3
39,Whiplash,2014,94%,4.7,4.4
40,Harakiri,1962,100%,5,4.7
41,American History X,1998,84%,4.2,4.1
42,The Prestige,2006,77%,3.9,4.3
43,Léon: The Professional ,1994,75%,3.8,4
44,Spider-Man: Across the Spider-Verse ,2023,95%,4.8,4.4
45,Casablanca ,1942,99%,4.9,4.3
46,The Usual Suspects ,1995,87%,4.4,4.1
47,The Intouchables ,2011,76%,3.8,4.1
48,Cinema Paradiso,1988,91%,4.6,4.5
49,Alien,1979,93%,4.7,4.3
50,Modern Times,1936,98%,4.9,4.3
51,Rear Window,1954,98%,4.9,4.4
52,Once Upon a Time in the West,1968,96%,4.8,4.4
53,Django Unchained ,2012,87%,4.4,4.3
54,City Lights,1931,95%,4.8,4.3
55,Apocalypse Now ,1979,90%,4.5,4.4
56,Dune: Part Two,2024,92%,4.6,4.4
57,Memento,2000,94%,4.7,4.2
58,WALL-E,2008,95%,4.8,4.2
59,Raiders of the Lost Ark,1981,94%,4.7,4.2
60,The Lives of Others,2006,92%,4.6,4.3
61,Avengers: Infinity War,2018,85%,4.3,4
62,Sunset Boulevard,1950,98%,4.9,4.4
63,Spider-Man: Into the Spider-Verse,2018,97%,4.9,4.4
64,Paths of Glory,1957,96%,4.8,4.4
65,Witness for Prosecution,1957,100%,5,4.4
66,The Shining ,1980,83%,4.2,4.2
67,The Great Dictator,1940,92%,4.6,4.3
68,12th Fail,2023,91%,4.6,4.1
69,Aliens,1986,94%,4.7,4.1
70,Inglourious Bastards ,2009,89%,4.5,4.3
71,The Dark Knight Rises ,2012,87%,4.4,3.8
72,Coco,2017,97%,4.9,4.1
73,Amadeus,1984,90%,4.5,4.3
74,Toy Story,1995,100%,5,4.1
75,Avengers: Endgame,2019,94%,4.7,3.9
76,Good Will Hunting,1997,97%,4.9,4.3
77,Oldboy,2003,82%,4.1,4.4
78,Dr. Strangelove or: HILTSWALTB,1964,98%,4.9,4.3
79,Das Boot,1981,98%,4.9,4.3
80,American Beauty,1999,87%,4.4,4
81,Braveheart,1995,76%,3.8,3.9
82,Princess Mononoke,1997,93%,4.7,4.4
83,Your Name.,2016,98%,4.9,4.2
84,High and Low,1963,96%,4.8,4.6
85,3 Idiots,2009,100%,5,4.1
86,The Chaos Class Failed the Class,1975,,,
87,Joker,2019,68%,3.4,3.8
88,Once Upon a Time in America ,1984,86%,4.3,4.2
89,Capernaum,2018,90%,4.5,4.2
90,Singin' in the Rain,1952,100%,5,4.3
91,Come and See,1985,89%,4.5,4.6
92,Requiem for a Dream,2000,78%,3.9,4.1
93,Toy Story 3,2010,98%,4.9,4
94,Star Wars Ep. VI,1983,82%,4.1,4.1
95,The Hunt,2012,92%,4.6,4.3
96,Ikiru,1952,98%,4.9,4.5
97,Eternal Sunshine of the Spotless Mind,2004,92%,4.6,4.2
98,2001: A Space Odyssey,1968,90%,4.5,4.3
99,Reservoir Dogs,1992,90%,4.5,4.2
100,The Apartment ,1960,93%,4.7,4.4
101,Incendies ,2010,91%,4.6,4.4
102,Lawrence of Arabia,1962,93%,4.7,4.4
103,Scarface ,1983,79%,4,4.1
104,Double Indemnity,1944,97%,4.9,4.3
105,Heat,1995,83%,4.2,4.3
106,North by Northwest,1959,97%,4.9,4.2
107,Citizen Kane,1941,99%,4.9,4.2
108,Up,2009,98%,4.9,4.1
109,M,1931,100%,5,4.3
110,Full Metal Jacket,1987,90%,4.5,4.2
111,Vertigo,1958,93%,4.7,4.2
112,Amélie,2001,90%,4.5,4.2
113,A Separation,2011,99%,4.9,4.4
114,To Kill a Mockingbird ,1962,93%,4.7,4.1
115,A Clockwork Orange ,1971,86%,4.3,4.1
116,Like Stars on Earth,2007,93%,4.7,4
117,Die Hard,1988,94%,4.7,4.1
118,The Sting,1973,93%,4.7,4.2
119,Indiana Jones and the Last Crusade,1989,84%,4.2,4.1
120,Oppenheimer,2023,93%,4.7,4.2
121,Metropolis,1927,97%,4.9,4.3
122,Snatch,2000,74%,3.7,4
123,1917 (Movie),2019,88%,4.4,4.1
124,L.A. Confidential,1997,99%,4.9,4.1
125,Bicycle Thieves,1948,99%,4.9,4.3
126,Downfall,2004,90%,4.5,4.1
127,Dangal,2016,89%,4.5,3.9
128,The Wolf of Wall Street,2013,79%,4,4
129,Hamilton,2020,98%,4.9,4.2
130,Taxi Driver,1976,89%,4.5,4.1
131,Green Book,2018,77%,3.9,3.8
132,Batman Begins,2005,85%,4.3,3.8
133,For a Few Dollars More,1965,92%,4.6,4.2
134,Judgement at Nuremberg,1961,93%,4.7,4.3
135,The Turman Show,1998,94%,4.7,4.2
136,Some Like It Hot,1959,95%,4.8,4.3
137,Shutter Island ,2010,69%,3.5,4.1
138,The Kid,1921,100%,5,4.2
139,The Father ,2020,98%,4.9,4.3
140,All About Eve,1950,99%,4.9,4.4
141,Jurassic Park,1993,91%,4.6,4.1
142,There Will Be Blood,2007,91%,4.6,4.5
143,Casino,1995,79%,4,4.2
144,The Sixth Sense,1999,86%,4.3,4.1
145,Ran,1985,96%,4.8,4.5
146,Top Gun: Maverick,2022,96%,4.8,4
147,No Country for Old Men,2007,93%,4.7,4.3
148,The Thing,1982,85%,4.3,4.4
149,Pan's Labyrinth,2006,95%,4.8,4.2
150,Unforgiven,1992,96%,4.8,4.2
151,A Beautiful Mind,2001,74%,3.7,3.8
152,Kill Bill: Vol. 1,2003,85%,4.3,4.2
153,The Treasure of the Sierra Madre ,1948,100%,5,4.3
154,Prisoners ,2013,81%,4.1,4.3
155,Yojimbo,1961,96%,4.8,4.3
156,Finding Nemo,2003,99%,4.9,4
157,The Great Escape ,1963,94%,4.7,4.1
158,Howl's Moving Castle ,2004,88%,4.4,4.3
159,Monty Python and the Holy Grail,1975,91%,4.6,4.1
160,The Elephant Man,1980,91%,4.6,4.3
161,Dial M for Murder ,1954,90%,4.5,4.1
162,Gone with the Wind,1939,90%,4.5,3.9
163,Klaus ,2019,95%,4.8,4.2
164,Rashomon ,1950,98%,4.9,4.2
165,Chinatown,1974,98%,4.9,4.3
166,The Secret in Their Eyes ,2009,89%,4.5,4.2
167,"Lock, Stock, and Two Smoking Barrels ",1998,75%,3.8,4
168,V for Vendetta ,2005,73%,3.7,3.9
169,Inside Out ,2015,98%,4.9,3.8
170,"Three Billboards Outside Ebbing, Missouri",2017,90%,4.5,4
171,The Bridge on the River Kwai,1957,96%,4.8,4.2
172,Trainspotting ,1996,90%,4.5,4.2
173,Catch Me If You Can,2002,96%,4.8,4
174,The Wild Robot ,2024,96%,4.8,4.2
175,Raging Bull,1980,92%,4.6,4.2
176,Fargo,1996,95%,4.8,4.2
177,Warrior ,2011,84%,4.2,4
178,Harry Potter and the Deathly Hallows: Pt 2,2011,96%,4.8,4
179,Gran Torino,2008,81%,4.1,3.8
180,Million Dollar Baby,2004,90%,4.5,4
181,My Neighbor Totoro,1988,94%,4.7,4.2
182,Mad Max: Fury Road,2015,97%,4.9,4.2
183,Ben-Hur,1959,87%,4.4,4.1
184,Spider-Man: No Way Home ,2021,93%,4.7,3.8
185,Barry Lyndon,1975,78%,3.9,4.4
186,Dead Poets Society ,1989,85%,4.3,4.3
187,Children of Heaven,1997,83%,4.2,4.2
188,12 Years a Slave,2013,95%,4.8,4.2
189,Before Sunrise ,1995,100%,5,4.3
190,The Grand Budapest Hotel,2014,92%,4.6,4.2
191,Blade Runner,1982,89%,4.5,4.1
192,Hacksaw Ridge ,2016,84%,4.2,4
193,Gone Girl,2014,88%,4.4,4.1
194,Memories of Murder ,2003,95%,4.8,4.4
195,Ratatouille,2007,96%,4.8,4.2
196,"Monsters, Inc.",2001,96%,4.8,4.1
197,In the Name of the Father ,1993,94%,4.7,4.2
198,The Gold Rush,1925,100%,5,4.1
199,How to Train Your Dragon,2010,99%,4.9,4.1
200,Wild Tales ,2014,94%,4.7,4.1
201,Jaws ,1975,97%,4.9,3.9
202,Sherlock Jr. ,1924,86%,4.3,4.4
203,Mary and Max,2009,96%,4.8,4.3
204,The Deer Hunter ,1978,86%,4.3,4.2
205,Ford v. Ferrari ,2019,92%,4.6,4
206,The General ,1926,92%,4.6,4.2
207,The Wages of Fear,1953,100%,5,4.3
208,Mr. Smith Goes to Washington,1939,97%,4.9,4.1
209,On the Waterfront,1954,99%,4.9,4.2
210,I'm Still Here ,2024,97%,4.9,4.3
211,Wild Strawberries ,1957,94%,4.7,4.3
212,Logan,2017,93%,4.7,4.1
213,Rocky,1976,93%,4.7,4.1
214,The Third Man,1949,99%,4.9,4.3
215,Tokyo Story,1953,100%,5,4.4
216,Spotlight,2015,97%,4.9,4.1
217,The Big Lebowski,1998,80%,4,4.1
218,Maharaja,2024,83%,4.2,3.8
219,The Terminator,1984,100%,5,3.9
220,The Seventh Seal,1957,93%,4.7,4.3
221,Room,2015,93%,4.7,4
222,Pirates of the Caribbean: TCOTBP,2003,79%,4,4
223,La Haine ,1995,96%,4.8,4.5
224,Jai Bhim,2021,100%,5,3.7
225,Hotel Rwanda ,2004,91%,4.6,3.8
226,Platoon,1986,89%,4.5,4
227,The Best Years of Our Lives ,1946,98%,4.9,4.2
228,Before Sunset,2004,94%,4.7,4.3
229,The Exorcist,1973,78%,3.9,4
230,The Passion of Joan of Arc ,1928,98%,4.9,4.4
231,The Wizard of Oz,1939,98%,4.9,4
232,The Sound of Music,1965,83%,4.2,4.2
233,The Incredibles ,2004,97%,4.9,4.1
234,Hachi: A Dog's Tale ,2009,64%,3.2,3.8
235,Rush,2013,88%,4.4,3.8
236,Stand by Me,1986,92%,4.6,4.2
237,My Father and My Son,2005,,,
238,Network,1976,91%,4.6,4.3
239,The Iron Giant,1999,96%,4.8,4.3
240,The Handmaiden,2016,96%,4.8,4.4
241,To Be or Not to Be,1942,96%,4.8,4.3
242,The Battle of Algiers ,1966,99%,4.9,4.4
243,A Silent Voice: The Movie ,2016,95%,4.8,4.2
244,The Grapes of Wrath,1940,100%,5,4.2
245,Into the Wild,2007,83%,4.2,3.8
246,Groundhog Day,1993,94%,4.7,3.8
247,The Help,2011,76%,3.8,3.9
248,Amores Perros ,2000,93%,4.7,4.2
249,Rebecca,1940,98%,4.9,4.1
250,Demon Slayer: Kimetsu no Yaiba,2021,98%,4.9,3.8
