Name,Year_Released,RT_Rating,Adj_RT_Rating,LTBX_Rating
Dune: Part Two,2024,0.92,4.6,4.4
Civil War,2024,0.81,4.1,3.6
Challengers,2024,0.88,4.4,3.9
The Iron Claw ,2023,0.89,4.5,4.1
Anatomy of a Fall,2023,0.96,4.8,4.1
Saltburn,2023,0.71,3.6,3.4
Poor Things,2023,0.93,4.7,4
Barbie ,2023,0.88,4.4,3.8
Oppenheimer ,2023,0.93,4.7,4.2
Past Lives,2023,0.95,4.8,4.2
Aftersun,2022,0.95,4.8,4.2
Nope,2022,0.83,4.2,3.7
The Batman,2022,0.85,4.3,4
Top Gun: Maverick,2022,0.96,4.8,4
Everything Everywhere All At Once,2022,0.94,4.7,4.3
The Worst Person in the World ,2021,0.96,4.8,4.1
CODA,2021,0.94,4.7,3.9
Pig,2021,0.97,4.9,3.8
The Green Knight,2021,0.89,4.5,3.7
Dune,2021,0.83,4.2,3.9
Minari,2020,0.98,4.9,4.1
The Invisible Man,2020,0.91,4.6,3.4
Promising Young Woman,2020,0.9,4.5,3.7
Palm Springs ,2020,0.94,4.7,3.8
Sound of Metal,2019,0.97,4.9,4.2
Jojo Rabbit ,2019,0.8,4.0,4
The Lighthouse ,2019,0.9,4.5,4
Uncut Gems ,2019,0.91,4.6,3.9
Knives Out ,2019,0.97,4.9,4
Parasite ,2019,0.99,4.9,4.5
Spider-Man: Into the Spider-Verse,2018,0.97,4.9,4.4
Widows,2018,0.91,4.6,3.6
Eighth Grade,2018,0.99,4.9,3.8
Hereditary,2018,0.9,4.5,4
Annihilation,2018,0.88,4.4,3.6
Call Me By Your Name ,2017,0.95,4.8,3.9
Logan,2017,0.93,4.7,4.1
Dunkirk ,2017,0.92,4.6,3.8
Lady Bird,2017,0.99,4.9,3.8
Get Out ,2017,0.98,4.9,4.1
10 Cloverfield Lane,2016,0.91,4.6,3.6
Moonlight,2016,0.98,4.9,4.2
Hell or High Water,2016,0.97,4.9,3.9
Zootopoia ,2016,0.98,4.9,3.7
The Witch,2015,0.91,4.6,3.8
Spotlight,2015,0.97,4.9,4.1
Ex Machina ,2015,0.92,4.6,4
Room ,2015,0.93,4.7,4
The Big Short,2015,0.89,4.5,3.8
Mad Max: Fury Road ,2015,0.97,4.9,4.2
Big Hero 6,2014,0.9,4.5,3.8
Kingsman: the Secret Service,2014,0.75,3.8,3.7
The Fault in Our Stars,2014,0.81,4.1,3.1
Neighbors,2014,0.72,3.6,2.9
Chef,2014,0.87,4.4,3.7
John Wick,2014,0.86,4.3,3.8
Gaurdians of the Galaxy,2014,0.92,4.6,3.8
The Babadook,2014,0.98,4.9,3.3
Nightcrawler,2014,0.95,4.8,4
Edge of Tomorrow,2014,0.91,4.6,3.8
The Way Way Back,2013,0.83,4.2,3.7
Her,2013,0.95,4.8,4
The Wolf of Wall Street,2013,0.79,4.0,4
The Conjuring ,2013,0.86,4.3,3.6
Chronicle ,2013,0.85,4.3,3.5
Pitch Perfect,2012,0.81,4.1,3.6
The Cabin in the Woods,2012,0.92,4.6,3.4
"Crazy, Stupid, Love ",2011,0.79,4.0,3.7
Contagion,2011,0.85,4.3,3.4
Drive,2011,0.93,4.7,3.9
Bridesmaids,2011,0.89,4.5,3.4
The Town,2010,0.92,4.6,3.7
The Social Network,2010,0.96,4.8,3.9
Black Swan,2010,0.85,4.3,4.2
Easy A,2010,0.85,4.3,3.4
(500) Days of Summer,2009,0.86,4.3,3.7
Jennifer's Body,2009,0.46,2.3,3.4
The Hangover,2009,0.79,4.0,3.7
Zombieland ,2009,0.89,4.5,3.5
Mamma Mia!,2008,0.55,2.8,3.8
Slumdog Millionare,2008,0.91,4.6,3.9
Cloverfield ,2008,0.79,4.0,3.4
Forgetting Sarah Marshall,2008,0.84,4.2,3.3
Disturbia ,2007,0.69,3.5,3.1
1408 (Movie),2007,0.79,4.0,3.2
Superbad,2007,0.88,4.4,3.9
Hot Fuzz,2007,0.91,4.6,4.1
Step Up,2006,0.21,1.1,3.1
The Prestige,2006,0.77,3.9,4.3
Little Miss Sunshine ,2006,0.91,4.6,4.2
V for Vendetta,2005,0.73,3.7,3.9
The Descent ,2005,0.87,4.4,3.6
The 40-Year-Old Virgin,2005,0.85,4.3,3.3
Sin City,2005,0.76,3.8,3.7
Coach Carter,2005,0.64,3.2,3.8
The Notebook,2004,0.54,2.7,3.8
National Treasure ,2004,0.46,2.3,3.3
Shaun of the Dead,2004,0.92,4.6,4
Mean Girls ,2004,0.84,4.2,3.8
Underworld ,2003,0.31,1.6,3.1
Mystic River,2003,0.89,4.5,3.8
The Core,2003,0.39,2.0,2.5
Runaway Jury,2003,0.73,3.7,3.3
Cold Mountain,2003,0.7,3.5,3.4
Johnny English,2003,0.32,1.6,3
Seabiscuit ,2003,0.78,3.9,3.3
Holes,2003,0.78,3.9,3.5
Identity,2003,0.63,3.2,3.4
Wrong Turn,2003,0.41,2.1,2.8
School of Rock,2003,0.92,4.6,3.6
The Italian Job,2003,0.73,3.7,3.2
The Transporter,2002,0.54,2.7,3.1
28 Days Later,2002,0.87,4.4,3.8
The Ring ,2002,0.71,3.6,3.3
Orange County,2002,0.47,2.4,3
The Count of Monte Cristo,2002,0.74,3.7,3.8
Joy Ride ,2001,0.74,3.7,3.2
A Knight's Tale,2001,0.59,3.0,3.6
Zoolander,2001,0.64,3.2,3.4
The Score,2001,0.74,3.7,3.2
Remember the Titans ,2000,0.71,3.6,3.8
Frequency,2000,0.7,3.5,3.5
High Fidelity,2000,0.91,4.6,3.6
Final Destination ,2000,0.4,2.0,3.2
The Whole Nine Yards ,2000,0.43,2.2,3.1
Bicentennial Man,1999,0.37,1.9,3.2
Galaxy Quest,1999,0.9,4.5,3.7
The Thomas Crown Affair ,1999,0.69,3.5,3.4
10 Things I Hate About You,1999,0.71,3.6,4
Deep Blue sea ,1999,0.6,3.0,2.9
A Simple Plan,1998,0.91,4.6,3.9
The Negotiator ,1998,0.74,3.7,3.5
Pleasantville,1998,0.86,4.3,3.7
The Edge ,1997,0.62,3.1,3.4
My Best Friend's Wedding,1997,0.74,3.7,3.2
Contact,1997,0.68,3.4,3.8
Starship Troopers ,1997,0.72,3.6,3.8
Matilda ,1996,0.92,4.6,3.7
The Rock,1996,0.67,3.4,3.6
Flirting with Disaster ,1996,0.88,4.4,3.4
Heat,1995,0.84,4.2,4.3
Congo,1995,0.23,1.2,2.6
Empire Records ,1995,0.35,1.8,3.6
Little Giants,1994,0.5,2.5,3.2
Speed,1994,0.95,4.8,3.7
Reality Bites,1994,0.62,3.1,3.4
Rookie of the Year,1993,0.41,2.1,3
Tombstone,1993,0.76,3.8,3.9
The Fugitive ,1993,0.96,4.8,3.9
A Leauge of Their Own,1992,0.82,4.1,3.8
Bad Lieutenant,1992,0.76,3.8,3.8
Candyman,1992,0.79,4.0,3.7
Sneakers,1992,0.79,4.0,3.5
Single White Female,1992,0.53,2.7,3.2
Bugsy,1991,0.84,4.2,3.3
Point Break,1991,0.7,3.5,3.7
My Own Private Idaho,1991,0.8,4.0,3.9
Barton Fink,1991,0.89,4.5,4.1
The Rocketeer,1991,0.66,3.3,3.4
Quick Change ,1990,0.84,4.2,3.4
Miller's Crossing ,1990,0.93,4.7,4
The Freshman,1990,0.94,4.7,3.2
Joe Versus the Volcano,1990,0.66,3.3,3.2
Total Recall,1990,0.82,4.1,3.8
Jacob's Ladder ,1990,0.72,3.6,3.8
Tremors,1990,0.88,4.4,3.5
The 'Burbs,1989,0.56,2.8,3.4
Road House,1989,0.6,3.0,3.4
UHF,1989,0.63,3.2,3.5
Heathers,1989,0.95,4.8,3.8
Dead Ringers ,1988,0.86,4.3,3.8
Bloodsport,1988,0.48,2.4,3.4
A Fish Called Wanda,1988,0.96,4.8,3.8
They Live ,1988,0.87,4.4,3.8
The Hidden,1987,0.76,3.8,3.6
Angel Heart,1987,0.82,4.1,3.7
The Lost Boys ,1987,0.75,3.8,3.7
Near Dark,1987,0.83,4.2,3.5
Broadcast News ,1987,0.98,4.9,4
Something Wild,1986,0.92,4.6,3.8
Hoosiers,1986,0.92,4.6,3.5
House,1986,0.57,2.9,3
The Hitcher,1986,0.65,3.3,3.6
Manhunter,1986,0.94,4.7,3.9
My Beautiful Laundrette,1985,0.98,4.9,3.5
Commando,1985,0.68,3.4,3.4
Fright Night,1985,0.83,4.2,3.6
Clue,1985,0.72,3.6,3.9
Legend,1985,0.43,2.2,3.1
Repo Man,1984,0.98,4.9,3.7
Videodrome,1983,0.83,4.2,3.9
Risky Business,1983,0.93,4.7,3.4
Blue Thunder,1983,0.78,3.9,3.2
Christine,1983,0.73,3.7,3.5
WarGames,1983,0.94,4.7,3.5
Conan the Barbarian ,1982,0.67,3.4,3.5
Tootsie,1982,0.91,4.6,3.7
Cat People ,1982,0.65,3.3,3.2
The Last American Virgin ,1982,0.77,3.9,3.2
Possession,1981,0.85,4.3,4.1
My Brilliant Career,1980,0.86,4.3,3.7
The Fog,1980,0.76,3.8,3.5
Gloria,1980,0.91,4.6,3.8
The Shining,1980,0.83,4.2,4.2
Stalker,1979,1,5.0,4.4
The Brood,1979,0.81,4.1,3.6
Being There,1979,0.95,4.8,4.1
The Warriors,1979,0.88,4.4,3.8
Mad Max,1979,0.89,4.5,3.3
The Deer Hunter,1978,0.86,4.3,4.2
The Driver,1978,0.79,4.0,3.8
Days of Heaven,1978,0.94,4.7,4.1
Halloween,1978,0.97,4.9,3.8
Dawn of the Dead,1978,0.92,4.6,4
Suspiria,1977,0.94,4.7,3.9
3 Women,1977,0.83,4.2,4.1
Saturday Night Fever,1977,0.82,4.1,3.2
Sorcerer,1977,0.82,4.1,4.2
Eraserhead,1977,0.87,4.4,3.8
The Man Who Fell to Earth,1976,0.79,4.0,3.5
Assult on Precinct 13,1976,0.96,4.8,3.8
Network,1976,0.91,4.6,4.3
Marathon Man,1976,0.82,4.1,3.8
Carrie,1976,0.94,4.7,3.9
Rollerball,1975,0.69,3.5,3.3
Picnic at hanging Rock,1975,0.92,4.6,3.8
Nashville,1975,0.89,4.5,4.2
Dog Day Afternoon,1975,0.96,4.8,4.3
Jaws,1975,0.97,4.9,3.9
The Conversation,1974,0.94,4.7,4.2
Phantom of the Paradise,1974,0.82,4.1,4.1
Alice Doesn't Live Here Anymore ,1974,0.92,4.6,3.8
The Texas Chain Saw Massacre ,1974,0.84,4.2,3.8
Chinatown,1974,0.98,4.9,4.3
Croffy,1973,0.83,4.2,3.6
Westworld,1973,0.84,4.2,3.5
The Wicker Man,1973,0.91,4.6,4
Soylent Green,1973,0.7,3.5,3.5
The Long Goodbye ,1973,0.95,4.8,4.2
Super Fly,1972,0.93,4.7,3.3
Solaris,1972,0.93,4.7,4.2
The Last House on the Left,1972,0.63,3.2,2.9
Frenzy,1972,0.91,4.6,3.7
Deliverance,1972,0.89,4.5,3.9
Wake in Flight,1971,0.96,4.8,4
The Omega Man,1971,0.65,3.3,3.2
Straw Dogs ,1971,0.82,4.1,3.8
Harold and Maude ,1971,0.86,4.3,4.1
A Clockwork Orange ,1971,0.86,4.3,4.1
Patton,1970,0.92,4.6,3.9
Catch-22,1970,0.81,4.1,3.6
M*A*S*H,1970,0.86,4.3,3.5
Army of Shadows ,1969,0.97,4.9,4.4
Z,1969,0.94,4.7,4.3
The Wild Brunch,1969,0.91,4.6,4.1
2001: A Space Odyssey,1968,0.9,4.5,4.3
Once Upon a Time in the West,1968,0.96,4.8,4.4
Planet of the Apes ,1968,0.86,4.3,4
The Graduate ,1967,0.87,4.4,4.1
Bonnie and Clyde,1967,0.91,4.6,3.9
Portait of Jason,1967,1,5.0,3.8
In the Heat of the Night,1967,0.95,4.8,4
Cool Hand Luke ,1967,1,5.0,4.2
Blow-Up,1966,0.87,4.4,3.8
"The Good, the Bad, the Ugly ",1966,0.97,4.9,4.5
Andrei Rublev,1966,0.96,4.8,4.4
The Battle of Algiers ,1966,0.99,4.9,4.4
Persona ,1966,0.91,4.6,4.4
Pierrot le Fou,1965,0.88,4.4,4
The War Game ,1965,0.93,4.7,4.1
Repulsion,1965,0.96,4.8,3.9
The Sound of Music ,1965,0.83,4.2,4.2
Red Beard ,1965,0.73,3.7,4.4
My Fair Lady,1964,0.94,4.7,3.6
The Killers,1964,0.8,4.0,3.6
Woman in the Dunes,1964,1,5.0,4.5
A Hard Day's Night,1964,0.98,4.9,3.9
Dr. Strangelove or: HILTSWALTB,1964,0.98,4.9,4.3
The Leopard ,1963,0.98,4.9,4.1
The Great Escape,1963,0.94,4.7,4.1
The Birds,1963,0.94,4.7,3.8
High and Low,1963,0.96,4.8,4.6
8 1/2 (Movie),1963,0.97,4.9,4.3
The Exterminating Angel,1962,0.94,4.7,4.2
To Kill a Mockingbird,1962,0.93,4.7,4.1
The Manchurian Candidate ,1962,0.97,4.9,4
Lawrence of Arabia ,1962,0.93,4.7,4.4
Harakiri,1962,1,5.0,4.7
The Hustler ,1961,0.94,4.7,4.1
The Innocents ,1961,0.95,4.8,4.1
Yojimbo,1961,0.96,4.8,4.3
West Side Story,1961,0.92,4.6,3.8
The Human Condition III,1961,0.97,4.9,4.6
Spartacus ,1960,0.94,4.7,3.9
Macario,1960,1,5.0,4.2
Le Trou,1960,0.95,4.8,4.5
Psycho,1960,0.97,4.9,4.3
The Apartment ,1960,0.93,4.7,4.4
Beloved Infidel,1959,0.52,2.6,3.3
Battle of the Coral Sea ,1959,0.18,0.9,3.1
Anatomy of a Murder,1959,1,5.0,4.2
"Ivan the Terrible, Part II",1958,1,5.0,4
Ashes and Diamonds,1958,0.96,4.8,4.1
Mon Oncle ,1958,0.94,4.7,4
Touch of Evil,1958,0.97,4.9,4.2
Vertigo,1958,0.93,4.7,4.2
Nights of Cabiria,1957,1,5.0,4.4
Wild Strawberries,1957,0.94,4.7,4.3
The Seventh Seal,1957,0.93,4.7,4.3
Paths of Glory,1957,0.96,4.8,4.4
12 Angry Men,1957,1,5.0,4.6
Giant,1956,0.86,4.3,3.9
The Killing,1956,0.96,4.8,4
A Man Escaped ,1956,1,5.0,4.3
Forbidden Planet,1956,0.92,4.6,3.6
Invasion of the Body Snatchers,1956,0.93,4.7,3.8
Pather Panchali,1955,0.98,4.9,4.3
Ordet,1955,1,5.0,4.3
Rififi,1955,0.92,4.6,4.3
Rebel Without a Cause,1955,0.93,4.7,3.8
The Night of the Hunter ,1955,0.93,4.7,4.3
The Wages of Fear,1954,1,5.0,4.3
Sansho the Bailiff,1954,1,5.0,4.4
On the Waterfront ,1954,0.99,4.9,4.2
Rear Window ,1954,0.98,4.9,4.4
Seven Samurai,1954,1,5.0,4.6
invaders from Mars,1953,0.88,4.4,3.1
Roman Holiday,1953,0.96,4.8,4.2
Shane ,1953,0.97,4.9,3.7
Tokyo Story,1953,1,5.0,4.4
The Earrings of Madame de...,1953,0.97,4.9,4.1
The Bad and the Beautiful,1952,0.8,4.0,4
The Life of Oharu,1952,1,5.0,4.2
High Noon,1952,0.95,4.8,4
Singin' in the Rain,1952,1,5.0,4.3
Ikiru,1952,0.98,4.9,4.5
The Day the Earth Stood Still,1951,0.95,4.8,3.8
Ace in the Hole,1951,0.9,4.5,4.3
Strangers on a Train,1951,0.98,4.9,4.1
A Streetcar Named Desire,1951,0.97,4.9,4
The African Queen,1951,0.96,4.8,3.7
Los Olvidados ,1950,0.91,4.6,4.2
Gun Crazy,1950,0.91,4.6,3.9
Rashomon,1950,0.98,4.9,4.2
Sunset Boulevard ,1950,0.98,4.9,4.4
All About Eve ,1950,0.99,4.9,4.4
On the Town,1949,0.94,4.7,3.6
White Heat,1949,0.94,4.7,4.1
Bicycle Thieves,1948,0.99,4.9,4.3
Key Largo,1948,0.97,4.9,3.8
Rope,1948,0.93,4.7,4.1
The Red Shoes,1948,0.98,4.9,4.4
The Treasure of the Sierra Madre,1948,1,5.0,4.3
The Ghost and Mrs. Muir,1947,1,5.0,3.9
Gentleman's Agreement,1947,0.82,4.1,3.5
Out of the Past,1947,0.93,4.7,4.1
Black Narcissus,1947,1,5.0,4
Miracle on 34th Street,1947,0.96,4.8,3.8
It's a Wonderful Life ,1946,0.94,4.7,4.4
The Best Years of Our Lives,1946,0.98,4.9,4.2
The Big Sleep,1946,0.96,4.8,4
Notorious,1946,0.96,4.8,4.1
Gilda,1946,0.9,4.5,3.8
Brief Encounter,1945,0.94,4.7,4.3
Spellbound,1945,0.86,4.3,3.8
The Lost Weekend,1945,0.97,4.9,4
Mildred Pierce ,1945,0.88,4.4,4.1
Detour,1945,0.98,4.9,3.8
To Have and Have Not,1944,0.95,4.8,3.9
Gaslight,1944,0.89,4.5,4
Laura ,1944,1,5.0,4
Meet Me in St. Louis ,1944,0.99,4.9,3.8
Double Indemnity,1944,0.97,4.9,4.3
The Human Comedy,1943,1,5.0,3.2
Watch on the Rhine,1943,0.8,4.0,3.3
Lassie Come Home,1943,0.94,4.7,3.4
The Ox-Bow Incident ,1943,0.92,4.6,4.1
Shadow of a Doubt ,1943,1,5.0,4
Casablanca ,1942,0.99,4.9,4.3
Mrs. Miniver,1942,0.93,4.7,3.7
Yankee Doodle Dandy,1942,0.91,4.6,3.5
"Now, Voyager",1942,0.91,4.6,3.9
The Magnificent Ambersons,1942,0.89,4.5,3.9
How Green Was My Valley,1941,0.93,4.7,4.1
Sergeant York,1941,0.84,4.2,3.6
Sullivan's Travels ,1941,1,5.0,4
The Maltese Falcon,1941,0.99,4.9,3.9
Citizen Kane,1941,0.99,4.9,4.2
The Great Dictator ,1940,0.92,4.6,4.3
His Girl Friday,1940,0.99,4.9,4
The Philadelphia Story,1940,1,5.0,4
Rebecca,1940,0.98,4.9,4.1
The Grapes of Wrath,1940,1,5.0,4.2
Wuthering Heights ,1939,0.96,4.8,3.6
The Roaring Twenties,1939,1,5.0,4
Ninotchka,1939,0.95,4.8,3.9
Mr. Smith Goes to Washington,1939,0.97,4.9,4.1
Stagecoach,1939,1,5.0,4
Algiers,1938,0.61,3.1,3.2
Alexander's Ragtime Band,1938,0.83,4.2,3.3
The Lady Vanishes,1938,0.98,4.9,3.9
Angels with Dirty Faces,1938,1,5.0,3.9
The Adventures of Robin Hood,1938,1,5.0,3.9
Snow White and the Seven Dwarfs,1937,0.97,4.9,3.4
The Life of Emile Zola,1937,0.92,4.6,3.3
A Star is Born,1937,1,5.0,3.6
Stage Door,1937,0.96,4.8,3.9
Shall We Dance,1937,0.89,4.5,3.6
Modern Times,1936,0.98,4.9,4.3
Mr. Deeds Goes to Town,1936,0.9,4.5,3.9
Swing Time,1936,0.93,4.7,3.6
San Francisco,1936,0.92,4.6,3.4
After the Thin Man,1936,0.96,4.8,3.8
Bride of Frankenstein ,1935,0.98,4.9,4
Top Hat,1935,1,5.0,3.8
Mutiny on the Bounty,1935,0.96,4.8,3.7
Captain Blood,1935,1,5.0,3.7
The 39 Steps,1935,0.96,4.8,3.8
It Happened One Night,1934,0.98,4.9,4.2
The Thin Man,1934,0.98,4.9,4
L'Atalante,1934,1,5.0,4
The Black Cat,1934,0.89,4.5,3.5
Twentieth Century ,1934,0.86,4.3,3.6
